,title,date,pipe_diameter,address,full_text
10,Emergency Water Main Repair - Suitland,"December 8, 2022",,,"Laurel, MD – December 8, 2022 - WSSC Water is making emergency repairs to an 8-inch water main at 3008 Sunset Lane, Suitland. Temporary water service interruption will occur during repairs. 
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience and thank you for being a valued customer! "
11,Emergency Water Main Repair - Silver Spring,"November 26, 2022",,,"Laurel, MD – November 26, 2022 - WSSC Water is making emergency repairs to an 8-inch water main at 15029 Wellwood Road, Silver Spring. Temporary water service interruption will occur during repairs. 
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience and thank you for being a valued customer! "
12,Emergency Water Main Repair - Rockville,"November 22, 2022",,,"Laurel, MD – November 22, 2022 - WSSC Water is making emergency repairs to a 24-inch water main at 4830 Hornbeam Drive, Rockville. Temporary water service interruption will occur during repairs. 
A water station will available at 9:15 am until water is restored at 4601 Muncaster Mill Road.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience and thank you for being a valued customer! "
13,Emergency Water Main Repair – Gaithersburg,"November 20, 2022",,,"Laurel, MD – November 20, 2022 - WSSC Water is making emergency repairs to a 12-inch water main at 9304 Bremerton Way in Gaithersburg. Temporary water service interruption will occur during repairs. 
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience and thank you for being a valued customer! "
14,Emergency Water Main Repair – Beltsville,"November 19, 2022",,,"Laurel, MD – November 19, 2022 - WSSC Water is making emergency repairs to a 12-inch water main at 11936 Beltsville Dr in Beltsville. Temporary water service interruption will occur during repairs. (Lighthouse Apartments impacted)
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience and thank you for being a valued customer! "
15,Emergency Water Main Repair - Germantown,"November 15, 2022",,,"Laurel, MD – November 15, 2022 - WSSC Water is making emergency repairs to a 24-inch water main at 12851 Clopper Road, Germantown. Temporary water service interruption will occur during repairs. 
A water station is set up for affected customers at United Church of Christ of Seneca Valley, 13421 Clopper Road, Germantown this morning
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! "
16,Emergency Water Main Repair - Fort Washington,"November 11, 2022",,,"Laurel, MD – November 11, 2022 - WSSC Water is making emergency repairs to a 10-inch water main at 2423 Brinkley Road, Fort Washington. Temporary water service interruption will occur during repairs. 
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! "
17,Emergency Water Main Repair – Silver Spring,"November 2, 2022",,,"Laurel, MD – November 2, 2022 - WSSC Water is making emergency repairs to a 10-inch water main at 949 Bonifant St. Temporary water service interruption will occur during repairs.  
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! "
18,Emergency Water Main Repair - Laurel,"October 24, 2022",,,"Laurel, MD – October 24, 2022 - WSSC Water is making emergency repairs to a 8-inch water main at 906 8th Street, Laurel. Temporary water service interruption will occur during repairs.  
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! "
19,Emergency Water Main Repair - Germantown,"October 7, 2022",,,"Laurel, MD – October 7, 2022 - WSSC Water is making emergency repairs to a 10-inch water main at 13329 Wisteria drive, Germantown. Temporary water service interruption will occur during repairs.  
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! "
20,Emergency Water Main Repair - Bethesda,"September 26, 2022",,,"Laurel, MD – September 26, 2022 - WSSC Water is making emergency repairs to a 10-inch water main at 9213 Seven Locks Road, Bethesda. Temporary water service interruption will occur during repairs.  
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! "
21,Emergency Water Main Repair - Potomac,"September 16, 2022",,,"Laurel, MD – September 16, 2022 - WSSC Water is making emergency repairs to a 12-inch water main at 9008 Belmart Rd., Potomac. Temporary water service interruption will occur during repairs.  
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! "
22,Emergency Water Main Repair - Temple Hills,"September 16, 2022",,,"Laurel, MD – September 16, 2022 - WSSC Water is making emergency repairs to an 8-inch water main at 4817 Temple Hill Road, Temple Hills. Temporary water service interruption will occur during repairs.  
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! "
23,Emergency Water Main Repair - Germantown,"August 30, 2022",,,"Laurel, MD – August 30, 2022 - WSSC Water is making emergency repairs to a 24-inch water main on Clopper Road, Germantown. Temporary water service interruption will occur during repairs. Water service restoration is estimated to occur this evening. For customers in the area who have water, the water is safe, however if you are experiencing discolored water, please see our information on discolored water.
A water station is set up at United Church of Christ of Seneca Valley, 13421 Clopper Road for impacted residents.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! "
24,Emergency Water Main Repair - Greenbelt,"August 30, 2022",,,"Laurel, MD – August 30, 2022 - WSSC Water is making emergency repairs to an 10-inch water main at 8700 block Edmonston Rd, Greenbelt impacting residents of the Towers at Westchester Park. Temporary water service interruption will occur during repairs.
A water station will be set up shortly at Friends Community School, 5901 Westchester Park Drive for impacted customers.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! 
 "
25,Emergency Water Main Repair – Laurel,"August 17, 2022",,,"Laurel, MD – August 17, 2022 - WSSC Water is making emergency repairs to an 8-inch water main at 16099 Dorset Rd. Temporary water service interruption will occur during repairs.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! "
26,Emergency Water Main Repair - Garrett Park,"August 11, 2022",,,"Laurel, MD – August 11, 2022 - WSSC Water is making emergency repairs to an 8-inch water main at 10702 Kenilworth Avenue, Garrett Park. Temporary water service interruption will occur during repairs.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! "
27,Emergency Water Main Repair - Potomac,"August 5, 2022",,,"Laurel, MD – August 5, 2022 - WSSC Water is making emergency repairs to an 16-inch water main at 8800 Brickyard Lane, Potomac. Some customers may have low water pressure, others may have no water service. Temporary water service interruption will occur during repairs.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns"
28,Emergency Water Main Repair - Hyattsville,"August 4, 2022",,,"Laurel, MD – August 4, 2022 - WSSC Water is making emergency repairs to an 12-inch water main at 6102 Ager Road, Hyattsville. Temporary water service interruption will occur during repairs.
A water station is set up at Rosa L Parks Elementary School located at 6111 Ager Rd. for impacted customers.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! "
29,Emergency Water Main Repair - Laurel,"August 2, 2022",,,"Laurel, MD – August 2, 2022 - WSSC Water is making emergency repairs to an 10-inch water main at 8418 Ashford Boulevard, Laurel. Temporary water service interruption will occur during repairs.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! "
30,Emergency Water Main Repair - Hyattsville,"June 7, 2022",,,"Laurel, MD – June 7, 2022 - WSSC Water is making emergency repairs to an 10-inch water main near 6622 24th Place, Hyattsville. Temporary water service interruption will occur during repairs.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! "
31,Emergency Water Main Repairs - Gaithersburg,"May 27, 2022",,,"Laurel, MD – May 27, 2022 - WSSC Water is making emergency repairs to an 8-inch water main near 18815 Walkers Choice Rd in Gaithersburg. Area customers may experience a temporary water service interruption during repairs.
Sign up for the Customer Notification System to receive alerts of water main breaks in your neighborhood by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! "
32,Emergency Water Main Repair – Germantown,"May 5, 2022",,,"Laurel, MD – May 5, 2022 - WSSC Water is making emergency repairs to an 8-inch water main near 13400 Winterspoon Ln in Germantown. Temporary water service interruption will occur during repairs.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! "
33,Emergency Water Main Repair - Temple Hills,"April 29, 2022",,,"Laurel, MD - April 29, 2022 - WSSC Water is making emergency repairs to a 10-inch water main at 2525 Southern Ave, Temple Hills. Temporary water service interruption will occur during repairs.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! "
34,Emergency Water Main Repair - Greenbelt,"April 21, 2022",,,"Laurel, MD - April 21, 2022 - WSSC Water is making emergency repairs to a 12-inch water main at 8000 Mandan Rd, Greenbelt. Temporary water service interruption will occur during repairs.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! "
35,Emergency Water Main Repair - Fort Washington,"March 17, 2022",,,"Laurel, MD - March 17, 2022 - WSSC Water is making emergency repairs to an 20-inch water main near the intersection of Allentown Road and Klovstad Drive in Fort Washington from Thursday, March 17 at 9:00 pm to Friday, March 18 at 6:00 am. Temporary water service interruption will occur during repairs.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! "
36,Emergency Water Main Repair - Rockville,"March 16, 2022",,,"Laurel, MD - March 16, 2022 - WSSC Water is making emergency repairs to an 24-inch water main near 15901 Emory Lane in Rockville. Temporary water service interruption will occur during repairs.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! "
37,Emergency Water Main Repair - Potomac,"March 15, 2022",,,"Laurel, MD - March 15, 2022 - WSSC Water is making emergency repairs to an 8-inch water main near 9605 Trailridge Terrace in Potomac. Temporary water service interruption will occur during repairs.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! "
38,Emergency Water Main Repair - Upper Marlboro,"February 16, 2022",,,"Laurel, MD - February 16, 2022 - WSSC Water is making emergency repairs to a 16-inch water main near 8414 Grandhaven Avenue in Upper Marlboro. Temporary water service interruption will occur during repairs.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns
We apologize for the inconvenience and thank you for being a valued customer! "
39,Emergency Water Main Repair – Fort Washington,"January 28, 2022",,,"Laurel, MD - January 28, 2022 - WSSC Water is making emergency repairs to a 6-inch water main near 9500 Blanchard Dr. in Fort Washington. Temporary water service interruption will occur during repairs.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns 
We apologize for the inconvenience and thank you for being a valued customer! "
40,Emergency Water Main Repair- Glen Echo,"January 25, 2022",,,"Laurel, MD - January 25, 2022 - WSSC Water is making emergency repairs to a 10-inch water main near 6119 Tulane Ave in Glen Echo. Temporary water service interruption will occur during repairs.
We apologize for the inconvenience and thank you for being a valued customer! "
41,Emergency Water Main Repair,"January 22, 2022",,,"Laurel, MD - January 22, 2022 - WSSC Water is making emergency repairs to a 12-inch water main near 15113 Dufief Drive in Gaithersburg. Temporary water service interruption will occur during repairs.
We apologize for the inconvenience and thank you for being a valued customer! "
42,Emergency Water Main Repair,"January 19, 2022",,,"Laurel, MD - January 19, 2022 - WSSC Water is making emergency repairs to a 10-inch water main near 9613 Linden Avenue in Bethesda. Temporary water service interruption will occur during repairs.
A water station is set up at Maplewood Alta Vista Park (5209 Alta Vista Rd) for customers impacted by the shutdown.
We apologize for the inconvenience and thank you for being a valued customer! "
43,Emergency Water Main Repair - Brandywine,"December 4, 2023",,,"Laurel, MD – December 4, 2023: WSSC Water is making repairs to a 24-inch water main at 6208 Accokeek Rd, Brandywine. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
44,Emergency Water Main Repair - Gaithersburg,"November 30, 2023",,,"Laurel, MD – November 30, 2023: WSSC Water is making repairs to an 8-inch water main at 8900 Centerway Rd, Gaithersburg. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
45,Emergency Water Main Repair - Oxon Hill,"November 28, 2023",,,"Laurel, MD – November 28, 2023: WSSC Water is making repairs to a 10-inch water main at 4615 Wheeler Rd, Oxon Hill. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
46,Emergency Water Main Repair - Marlow Heights,"November 17, 2023",,,"Laurel, MD – November 17, 2023: WSSC Water is making repairs to a 20-inch water main at 4563 St. Barnabas Road, Marlow Heights.  Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
47,Emergency Water Main Repair - College Park,"October 24, 2023",,,"Laurel, MD – October 24, 2023: WSSC Water is making repairs to an 8-inch water main at 8106 Rhode Island Avenue, College Park. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
48,Emergency Water Main Repair - Gaithersburg,"October 23, 2023",,,"Laurel, MD – October 23, 2023: WSSC Water is making repairs to an 8-inch water main at 18601-617 Walkers Choice Rd., Gaithersburg. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
49,Emergency Water Main Repair - Capitol Heights,"September 17, 2023",,,"Laurel, MD – September 17, 2023: WSSC Water is making repairs to a 10-inch water main at 6314 Foote Street, Capitol Heights. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
A water station is set up at 5800 Martin Luther King Jr. Highway, Seat Pleasant for customers impacted by this water main break.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
50,Emergency Water Main Repair - Upper Marlboro,"September 14, 2023",,,"Laurel, MD – September 14, 2023: WSSC Water is making repairs to an 8-inch water main at 122403 Dorsey Lane, Upper Marlboro. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
51,Emergency Water Main Repair - West Hyattsville,"September 5, 2023",,,"Laurel, MD – September 5, 2023: WSSC Water is making repairs to a 10-inch water main at 1501-23 Ray Road, West Hyattsville, impacting residents in the Overlook Apartments. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
52,Emergency Water Main Repair – Oxon Hill,"August 23, 2023",,,"Laurel, MD – August 23, 2023: WSSC Water is making repairs to a 10-inch water main at 815-907 Marcy Ave., Oxon Hill. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
A water station has been set up until 11:00 pm at Colonial Village Apartments, 823 Marcy Avenue, for customers impacted by shutdown.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns."
53,Emergency Water Main Repair – Hyattsville/Chillum,"August 20, 2023",,,
54,Emergency Water Main Repair - Clinton,"July 31, 2023",,,"Laurel, MD – July 31, 2023: WSSC Water is making repairs to an 12-inch water main at 8705 Canberra Drive, Clinton. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
55,Emergency Water Main Repair - Greenbelt,"June 27, 2023",,,"Laurel, MD – July 26, 2023: WSSC Water is making repairs to an 8-inch water main at 1-A Laurel Hill Rd, Greenbelt. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
56,Emergency Water Main Repair - Mt. Rainier,"June 13, 2023",,,"Laurel, MD – June 13, 2023: WSSC Water is making repairs to an 8-inch water main at 3419 Eastern Ave, Mt. Rainier. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
57,Emergency Water Main Repair - Mount Rainier,"May 31, 2023",,,"Laurel, MD – May 31, 2023: WSSC Water is making repairs to an 8-inch water main at 4200 Kaywood Drive, Mount Rainier. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
58,Emergency Water Main Repair – Bethesda,"May 24, 2023",,,
59,Emergency Water Main Repair - College Park,"May 12, 2023",,,"Laurel, MD – May 12, 2023: WSSC Water is making repairs to a 10-inch water main at 6400 Pontiac Street in College Park. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
A water station has been set up at Friends Community School located at 5901 Westchester Park Dr. for impacted customers.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
60,Emergency Water Main Repair - Bethesda,"April 24, 2023",,,"Laurel, MD – April 24, 2023: WSSC Water is making emergency repairs to a 12-inch water main at 10100 Old Georgetown Road in Bethesda. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
A water station has been set up until 10:00 pm at North Bethesda United Methodist Church located at 10100 Old Georgetown Road. for impacted customers.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
61,Emergency Water Main Repair – Capitol Heights,"March 29, 2023",,,"Laurel, MD – March 29, 2023: WSSC Water is making emergency repairs to a 16-inch water main at 5233-39 Marlboro Pike in Capitol Heights. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
A water station has been set up at St. Matthews Baptist Church located 2001 Brooks Dr. for impacted customers.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
62,Emergency Water Main Repair - Hyattsville,"February 26, 2023",,,"Laurel, MD – February 26, 2023: WSSC Water is making emergency repairs to a 12-inch water main at 5710 Baltimore Avenue in Hyattsville. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
A water station has been set up at 5707 Longfellow Street for impacted customers.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
63,Emergency Water Main Repair - Laurel,"February 23, 2023",,,"Laurel, MD – February 23, 2023: WSSC Water is making emergency repairs to a 16-inch water main at 9807 Snowden Road in Laurel. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
64,Emergency Water Main Repair - Silver Spring,"February 16, 2023",,,"Laurel, MD – February 16, 2023: WSSC Water is making emergency repairs to a 12-inch water main at 2820 Covington Road in Silver Spring. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
65,Emergency Water Main Repair - College Park,"February 15, 2023",,,"Laurel, MD – February 15, 2023: WSSC Water is making emergency repairs to an 8-inch water main at 3503 Metzerott Road in College Park. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
66,Emergency Water Main Repair - Damascus,"February 7, 2023",,,"Laurel, MD – February 7, 2023: WSSC Water is making emergency repairs to an 8-inch water main at 24710 Cutsail Drive in Damascus. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
67,Emergency Water Main Repair - Silver Spring,"February 6, 2023",,,"Laurel, MD – February 6, 2023: WSSC Water is making emergency repairs to a 6-inch water main at 2920 Woodstock Avenue in Silver Spring. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
68,Emergency Water Main Repair - Temple Hills,"February 2, 2023",,,"Laurel, MD – February 2, 2023: WSSC Water is making emergency repairs to a 16-inch water main at 4800 Birchtree Lane in Temple Hills. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
69,Emergency Water Main Repair – Potomac,"January 26, 2023",,,"Laurel, MD – January 26, 2023: WSSC Water is making emergency repairs to a 16-inch water main at 11520 Lake Potomac Dr. in Potomac. Nearby customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
70,Emergency Water Main Repair - Mt. Rainier,"January 2, 2023",8,"3417 Eastern Avenue, Mr. Rainier","Laurel, MD – January 2, 2023: WSSC Water is making emergency repairs to an 8-inch water main at 3417 Eastern Avenue, Mr. Rainier. Customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
71,Emergency Water Main Repair - Silver Spring,"January 2, 2023",8,"2201 Briggs Road, Silver Spring","Laurel, MD – January 2, 2023: WSSC Water is making emergency repairs to an 8-inch water main at 2201 Briggs Road, Silver Spring. Customers will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
A water station has been set up at 2206 Briggs Road (Pilgrim Church, United Church of Christ) for affected customers.
Sign up for the Customer Notification System to receive alerts of water main breaks by visiting wsscwater.com/cns.
We apologize for the inconvenience. Thank you for being a valued customer."
72,Emergency Water Main Repair - Fort Washington,"December 26, 2024",16,"8902 Allentown Rd, Fort Washington","Laurel, MD – December 26, 2024: WSSC Water is repairing a 16-inch water main at 8902 Allentown Rd, Fort Washington. Customers in the area will lose water service while the water main is being fixed. Repairs will be made as quickly as possible.
Sign up for the Customer Notification System to receive alerts about our work in your area that may affect your service or daily routine by visiting wsscwater.com/cns."
